temperature,humidity,airflow,openness,Q
33.39,19.20550882,43,0.43,0
33.32,19.12464503,43,0.43,0
33.35,19.32724909,43,0.41,0
33.37,19.29190261,43,0.43,0
33.56,19.36055577,43,0.43,0
33.44,19.01247842,43,0.43,0
33.41,18.97619611,43,0.43,0
33.5,19.081818,43,0.43,0
33.53,19.06012036,43,0.43,0
33.49,18.94112363,43,0.43,0
33.52,19.10384245,43,0.43,0
33.48,19.07687478,43,0.43,0
33.33,18.76706816,43,0.43,0
33.38,18.82130507,43,0.43,0
33.29,18.64960627,43,0.42,0
31.12,17.65419403,43,0.43,0
31.06,17.60408945,43,0.43,0
31.06,17.58927853,43,0.43,0
31.07,17.56106032,43,0.43,0
31.06,17.55669691,43,0.43,0
31.09,17.59648647,43,0.43,0
31.15,17.60484203,43,0.43,0
31.21,17.54131717,43,0.43,0
31.16,17.54961721,43,0.43,0
31.22,17.57848799,43,0.43,0
31.24,17.67689655,43,0.43,0
31.29,17.71668657,43,0.43,0
31.33,17.75217661,43,0.43,0
31.32,17.79293013,43,0.43,0
31.33,17.85752759,43,0.43,0
31.39,17.87197564,43,0.43,0
31.38,17.88869978,43,0.43,0
31.42,17.83375664,43,0.43,0
31.5,17.92342641,43,0.43,0
31.57,17.86867334,43,0.43,0
31.63,17.81195403,43,0.43,0
31.69,17.76690336,43,0.43,0
31.73,17.66371867,43,0.43,0
31.75,17.66276089,43,0.43,0
31.64,17.94492443,43,0.43,0
31.34,17.93124357,43,0.43,0
31.09,17.83989361,43,0.43,0
30.84,17.75283682,43,0.43,0
30.66,17.84705456,43,0.43,0
30.6,17.86503928,43,0.43,0
30.43,17.75578431,43,0.43,0
30.33,17.81066417,43,0.43,0
30.3,17.87002096,43,0.43,0
30.24,17.86630582,43,0.43,0
30.25,18.31022805,43,0.43,0
30.17,19.00625227,43,0.43,0
29.96,19.26890131,43,0.43,0
29.8,19.28369202,43,0.43,0
29.63,19.39188877,43,0.43,0
29.43,19.53167541,43,0.43,0
29.21,19.62314007,43,0.43,0
29.09,19.78140648,43,0.43,0
29.07,19.93609539,43,0.43,0
29.05,20.09312996,43,0.43,0
28.93,20.12390479,43,0.43,0
28.75,19.79348289,43,0.43,0
28.58,19.32700064,43,0.41,0
28.37,18.89938781,43,0.43,0
28.25,18.49852853,43,0.43,0
28.23,18.31237661,43,0.43,0
28.15,18.01903282,43,0.43,0
28.17,17.90003893,43,0.43,0
28.14,17.59489586,43,0.43,0
27.96,17.08935429,43,0.43,0
28,17.16508239,43,0.43,0
27.93,17.02409044,43,0.43,0
27.95,17.04945338,43,0.43,0
27.97,16.98329759,43,0.43,0
27.81,16.63015238,43,0.43,0
27.79,16.61266641,43,0.42,0
27.73,16.52862986,43,0.43,0
27.75,16.5216401,43,0.43,0
27.6,16.35427694,43,0.43,0
27.65,16.44221183,43,0.43,0
27.65,16.34768442,43,0.43,0
27.62,16.23846533,43,0.43,0
27.58,16.16817101,43,0.43,0
27.62,16.2553942,43,0.43,0
27.62,16.24088368,43,0.43,0
27.65,16.32102791,43,0.43,0
27.66,16.4205502,43,0.43,0
27.69,16.5035957,43,0.43,0
27.78,16.83495777,43,0.43,0
27.91,17.20840028,43,0.43,0
27.83,17.17021744,43,0.43,0
27.79,17.37898161,43,0.43,0
27.87,17.59075295,43,0.43,0
27.89,17.71305908,43,0.42,0
27.86,17.73292891,43,0.43,0
27.91,17.87769651,43,0.43,0
27.91,17.94692879,43,0.43,0
27.94,18.05856653,43,0.43,0
27.9,18.12650557,43,0.43,0
27.91,18.22895779,43,0.43,0
27.88,18.33698465,43,0.43,0
27.87,18.40254901,43,0.43,0
27.88,18.48778369,43,0.43,0
27.88,18.52240333,43,0.42,0
27.91,18.60538337,43,0.43,0
27.94,18.57689742,43,0.43,0
27.97,18.600462,43,0.43,0
28.06,18.71377034,43,0.42,0
28.03,18.6301759,43,0.43,0
28.05,18.66255593,43,0.43,0
28.07,18.71750291,43,0.43,0
28.09,18.67987183,43,0.43,0
28.15,18.73217152,43,0.43,0
28.17,18.75466269,43,0.43,0
28.17,18.73956131,43,0.42,0
28.17,18.77479897,43,0.42,0
28.11,18.70230852,43,0.43,0
28.14,18.91444042,43,0.43,0
28.09,18.91790375,43,0.43,0
28.04,18.92365993,43,0.43,0
27.97,18.90148086,43,0.43,0
27.9,18.88903319,43,0.43,0
27.88,18.94060726,43,0.43,0
27.88,19.03223958,43,0.43,0
27.84,19.01861842,43,0.43,0
27.8,18.9827553,43,0.43,0
27.77,18.94851008,43,0.43,0
27.78,19.03378528,43,0.43,0
27.77,19.03217468,43,0.42,0
27.77,19.04448014,43,0.43,0
27.79,19.15368146,43,0.43,0
27.81,19.27055089,43,0.43,0
27.78,19.2554865,43,0.43,0
27.69,19.12443092,43,0.43,0
27.67,19.13811057,43,0.42,0
27.58,18.98833649,43,0.42,0
27.58,18.99563716,43,0.43,0
27.62,18.99514292,43,0.43,0
27.62,18.9609948,43,0.43,0
27.62,18.92928909,43,0.43,0
27.67,19.00352554,43,0.43,0
27.67,18.92280164,43,0.43,0
27.67,18.87144248,43,0.43,0
27.66,18.8942963,43,0.42,0
27.68,18.90238871,43,0.43,0
27.71,18.90960376,43,0.43,0
27.71,18.88263845,43,0.41,0
27.72,18.96269762,43,0.43,0
27.74,18.97817873,43,0.42,0
27.74,18.92905606,43,0.43,0
27.79,19.03539022,43,0.43,0
27.83,19.09362221,43,0.43,0
27.87,19.17430421,43,0.43,0
27.88,19.21310453,43,0.43,0
27.88,19.20319148,43,0.43,0
27.91,19.2279508,43,0.43,0
27.97,19.29497297,43,0.42,0
28.06,19.47484293,43,0.43,0
27.98,19.21183907,43,0.43,0
27.99,19.12114142,43,0.43,0
28.12,19.36662274,43,0.43,0
28.14,19.27411776,43,0.43,0
28.12,19.20825261,43,0.43,0
28.16,19.2594869,43,0.43,0
28.15,19.16988017,43,0.43,0
28.2,19.11137561,43,0.43,0
28.26,19.15243691,43,0.43,0
28.32,19.31049507,43,0.43,0
28.33,19.42644256,43,0.43,0
28.29,19.41035763,43,0.43,0
28.3,19.45504663,43,0.43,0
28.26,19.47179439,43,0.43,0
28.25,19.50826539,43,0.42,0
28.25,19.60206146,43,0.43,0
28.26,19.64174106,43,0.43,0
28.27,19.70685484,43,0.43,0
28.25,19.74914835,43,0.43,0
28.24,19.80067309,43,0.42,0
28.23,19.809056,43,0.43,0
28.21,19.78780303,43,0.43,0
28.21,19.81311371,43,0.43,0
28.19,19.76909754,43,0.43,0
28.15,19.71155378,43,0.42,0
28.13,19.63751183,43,0.43,0
28.14,19.69719183,43,0.43,0
28.14,19.75263572,43,0.42,0
28.15,19.76955446,43,0.41,0
28.17,19.85646394,43,0.43,0
28.17,19.88424696,43,0.43,0
28.15,19.91081734,43,0.43,0
28.14,19.94172104,43,0.43,0
28.13,19.97006319,43,0.43,0
28.12,20.01600315,43,0.42,0
28.13,20.06081885,43,0.43,0
28.14,20.11577796,43,0.43,0
28.14,20.10568513,43,0.43,0
